1577836800000,2.58370000,2.62880000,2.57630000,2.60850000,413685.23000000,1577851199999,1079319.84794900,2984,230810.07000000,601953.45541100,0
1577851200000,2.60930000,2.63080000,2.60680000,2.61370000,312018.74000000,1577865599999,817145.75490700,2362,124325.35000000,325511.37119600,0
1577865600000,2.61370000,2.63870000,2.59890000,2.61830000,295392.60000000,1577879999999,773233.95278400,2283,136812.06000000,358066.54339200,0
1577880000000,2.61670000,2.63520000,2.61600000,2.62640000,200244.68000000,1577894399999,525828.74253000,1553,117307.85000000,308104.11674900,0
1577894400000,2.62650000,2.63550000,2.61560000,2.62020000,268337.11000000,1577908799999,704210.17944900,2073,112953.42000000,296467.01020500,0
1577908800000,2.62050000,2.63170000,2.58580000,2.60390000,346869.50000000,1577923199999,905329.83847900,2733,176121.28000000,459675.25087800,0
1577923200000,2.60380000,2.60980000,2.56720000,2.57300000,435333.75000000,1577937599999,1124613.45425500,3063,202297.90000000,522630.21220200,0
1577937600000,2.57200000,2.58700000,2.56840000,2.57600000,374687.79000000,1577951999999,965885.86884700,2809,195527.86000000,504085.44247500,0
1577952000000,2.57570000,2.59940000,2.57570000,2.58280000,216674.57000000,1577966399999,560886.91910700,1903,118963.88000000,307977.47365400,0
1577966400000,2.58180000,2.58810000,2.55000000,2.55800000,570613.60000000,1577980799999,1463058.21230500,4107,283992.52000000,728416.17365300,0
1577980800000,2.55840000,2.56200000,2.41930000,2.45750000,2416025.52000000,1577995199999,5979205.73947900,13491,1127507.69000000,2789868.33324800,0
1577995200000,2.45790000,2.46560000,2.43250000,2.45930000,621803.73000000,1578009599999,1527029.34288900,3232,368466.97000000,905143.08110400,0
1578009600000,2.45940000,2.46280000,2.43030000,2.45330000,658360.48000000,1578023999999,1613089.12224400,3769,317500.04000000,777937.05458800,0
1578024000000,2.45330000,2.55560000,2.45330000,2.53920000,2022343.84000000,1578038399999,5093875.97651700,11084,1119514.94000000,2819221.61943800,0
1578038400000,2.53970000,2.62670000,2.53720000,2.60730000,2314145.54000000,1578052799999,6006072.45137100,12621,1218296.47000000,3161256.86685100,0
1578052800000,2.60850000,2.64720000,2.58780000,2.62870000,1193335.09000000,1578067199999,3117700.78050500,7845,613095.18000000,1601943.26864700,0
1578067200000,2.62950000,2.66490000,2.60510000,2.64630000,1437147.82000000,1578081599999,3794866.67178600,9670,772382.79000000,2039053.67024200,0
1578081600000,2.64590000,2.65490000,2.62020000,2.63960000,724003.88000000,1578095999999,1911541.30602300,4272,337813.52000000,891942.04793100,0
1578096000000,2.64250000,2.64910000,2.61680000,2.63570000,435983.54000000,1578110399999,1147865.30103600,3232,195862.96000000,515698.95007400,0
1578110400000,2.63360000,2.66210000,2.62730000,2.65040000,699933.17000000,1578124799999,1851239.95922200,4789,387034.57000000,1023964.35755400,0
1578124800000,2.65040000,2.65790000,2.62560000,2.64500000,598978.68000000,1578139199999,1582601.69857400,3694,294935.91000000,779182.97188400,0
1578139200000,2.64390000,2.64670000,2.62320000,2.63980000,374355.03000000,1578153599999,986266.12209500,2572,170963.52000000,450391.55045700,0
1578153600000,2.63930000,2.66400000,2.62390000,2.63990000,1143394.58000000,1578167999999,3017215.75356400,6184,668751.89000000,1764635.29273300,0
1578168000000,2.63900000,2.65190000,2.63270000,2.64810000,323141.02000000,1578182399999,854873.75820200,1884,163917.36000000,433573.09440300,0
