0,1,2,3,4,5,6,7,8,9
10.119784868895055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.49841486476153,9.543872237390117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.416672792268727,7.464667200885615,7.486725933732257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.265034763541917,5.311120660711774,5.3379956596180635,5.339796637565182,0.0,0.0,0.0,0.0,0.0,0.0
7.374995912536004,7.4169300387868455,7.445406690964413,7.443417421979096,7.39299440380263,0.0,0.0,0.0,0.0,0.0
14.176552139193989,14.219916024633429,14.248613112194704,14.247299241423256,14.197339955708717,14.138974391455932,0.0,0.0,0.0,0.0
14.698660141087863,14.744981471924657,14.771162683486946,14.774454038541933,14.724668815356807,14.663732604904087,14.719209884640735,0.0,0.0,0.0
11.904198810285477,11.950001855216788,11.976156010196576,11.979562012951112,11.928656444227904,11.867997350048848,11.924935782152176,11.954748043116178,0.0,0.0
12.315362142661902,12.358995400488396,12.387395723892551,12.38653319080231,12.336253674815548,12.2787870331558,12.336094576493052,12.364948152843086,12.359229559460914,0.0
10.750769133482924,10.798924427135383,10.824096804230487,10.827352334381631,10.779145120904065,10.721576433901113,10.77252883117323,10.804352927939409,10.802453038531453,10.811527712405496
