0,1,2,3,4,5,6,7,8,9
9.548677478187717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.927935367624292,9.269696264273561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.854500148952104,7.188356382502701,7.313895400369667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.69419653030639,5.037218537950312,5.174483435265356,5.208544456866743,0.0,0.0,0.0,0.0,0.0,0.0
6.827547257576874,7.157556660233553,7.292540603584257,7.3170665735237295,7.26518305665755,0.0,0.0,0.0,0.0,0.0
13.618382848254914,13.956153510279206,14.094721764792917,14.119687145764699,14.070773276251675,13.917628575589502,0.0,0.0,0.0,0.0
14.127088208039066,14.47005751118131,14.60554055410647,14.643879204664621,14.599311367303827,14.442566445954798,14.545292598505036,0.0,0.0,0.0
11.334224119417923,11.676961088655165,11.810493005409043,11.849780666074693,11.802801126419821,11.648370612700477,11.751862954730642,11.783158815942526,0.0,0.0
11.754992176025045,12.093226211461978,12.230961855980198,12.257862567438247,12.208654706707986,12.059671629521755,12.163453137437978,12.196688373422235,12.18774585156365,0.0
10.181270969879801,10.523937951323623,10.659306256798226,10.696538923388315,10.654024266365221,10.503138183519985,10.59985207496484,10.635748635431874,10.637701683688164,10.616679864566413
