0,1,2,3,4,5,6,7,8,9
10.24959802424653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.627694557262341,9.627854305810562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.545868692229616,7.546073494937261,7.5459860320777725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.394744398187288,5.394904608640429,5.394871933471706,5.395003063339614,0.0,0.0,0.0,0.0,0.0,0.0
7.498686583239634,7.498812265144594,7.498804987115025,7.498926230273689,7.498920557949287,0.0,0.0,0.0,0.0,0.0
14.302426771545406,14.302558849300178,14.302554042528753,14.302673912429277,14.302672401762269,14.30256693468926,0.0,0.0,0.0,0.0
14.828464837916,14.8286330347329,14.82859027728834,14.828726072356497,14.82872840159503,14.828616885241278,14.828789795501354,0.0,0.0,0.0
12.033379681838143,12.033551502618096,12.033500349588541,12.033639596818368,12.033639301790434,12.033529793475385,12.033704129489763,12.033720940671728,0.0,0.0
12.441902621111453,12.442040187573332,12.442027160540905,12.442150787172203,12.442149074021158,12.442047796673078,12.442216613552864,12.44223712831438,12.442272233536574,0.0
10.88123448519448,10.88140937080182,10.881368592741039,10.88149864169893,10.881503658155767,10.881398569667068,10.881562704070921,10.88158673922708,10.881633058402299,10.881673728432347
